rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
11,3975,Stephen Curry,2024-25,regular,2026-02-12T22:31:30.095997,11,Stephen Curry,G,70,32.2,24.5,8.1,18.0,44.8,4.4,11.2,39.7,4.0,4.3,93.3,4.4,6.0,1.1,0.4,2.9,9,0
12,3136195,Karl-Anthony Towns,2024-25,regular,2026-02-12T22:31:30.096051,12,Karl-Anthony Towns,C,72,35.0,24.4,8.9,16.9,52.6,2.0,4.7,42.0,4.7,5.7,82.9,12.8,3.1,1.0,0.7,2.7,58,1
13,1966,LeBron James,2024-25,regular,2026-02-12T22:31:30.096106,13,LeBron James,F,70,34.9,24.4,9.3,18.1,51.3,2.1,5.7,37.6,3.7,4.7,78.2,7.8,8.2,1.0,0.6,3.7,32,10
14,4277905,Trae Young,2024-25,regular,2026-02-12T22:31:30.096159,14,Trae Young,G,76,36.0,24.2,7.4,18.1,41.1,2.9,8.4,34.0,6.5,7.4,87.5,3.1,11.6,1.2,0.2,4.7,51,0
15,4566434,Franz Wagner,2024-25,regular,2026-02-12T22:31:30.096213,15,Franz Wagner,F,60,33.7,24.2,9.0,19.4,46.3,1.7,5.9,29.5,4.5,5.2,87.1,5.7,4.7,1.3,0.4,2.3,3,0
16,3908809,Donovan Mitchell,2024-25,regular,2026-02-12T22:31:30.096268,16,Donovan Mitchell,G,71,31.4,24.0,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,4.5,5.0,1.3,0.2,2.1,6,0
17,4395725,Tyler Herro,2024-25,regular,2026-02-12T22:31:30.096323,17,Tyler Herro,G,77,35.4,23.9,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,5.2,5.5,0.9,0.2,2.6,9,0
18,4066259,De'Aaron Fox,2024-25,regular,2026-02-12T22:31:30.096376,18,De'Aaron Fox,G,62,36.1,23.5,8.7,18.8,46.3,1.9,6.1,31.0,4.2,5.1,82.7,4.8,6.3,1.5,0.4,2.8,9,0
19,3064440,Zach LaVine,2024-25,regular,2026-02-12T22:31:30.096433,19,Zach LaVine,G,74,35.2,23.3,8.4,16.5,51.1,3.2,7.2,44.6,3.2,3.9,82.5,4.3,4.2,0.8,0.2,2.8,6,0
20,3992,James Harden,2024-25,regular,2026-02-12T22:31:30.096485,20,James Harden,G,79,35.3,22.8,6.7,16.4,41.0,3.0,8.5,35.2,6.4,7.3,87.4,5.8,8.7,1.5,0.7,4.3,38,3
21,3978,DeMar DeRozan,2024-25,regular,2026-02-12T22:31:30.096539,21,DeMar DeRozan,G,77,35.9,22.2,8.1,17.0,47.7,1.1,3.3,32.8,4.9,5.7,85.7,3.9,4.4,0.8,0.4,1.4,3,0
22,3917376,Jaylen Brown,2024-25,regular,2026-02-12T22:31:30.096591,22,Jaylen Brown,G,63,34.3,22.2,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,5.8,4.5,1.2,0.3,2.6,5,0
23,4277961,Jaren Jackson Jr.,2024-25,regular,2026-02-12T22:31:30.096647,23,Jaren Jackson Jr.,F,74,29.8,22.2,8.0,16.4,48.8,2.0,5.3,37.5,4.2,5.4,78.1,5.6,2.0,1.2,1.5,2.1,6,0
24,2595516,Norman Powell,2024-25,regular,2026-02-12T22:31:30.096698,24,Norman Powell,G,60,32.6,21.8,7.6,15.8,48.4,3.0,7.1,41.8,3.6,4.4,80.4,3.2,2.1,1.2,0.2,1.8,1,0
25,4593803,Jalen Williams,2024-25,regular,2026-02-12T22:31:30.096750,25,Jalen Williams,G,69,32.4,21.6,8.2,16.9,48.4,1.8,4.9,36.5,3.4,4.3,78.9,5.3,5.1,1.6,0.7,2.2,3,0
26,3936299,Jamal Murray,2024-25,regular,2026-02-12T22:31:30.096805,26,Jamal Murray,G,67,36.1,21.4,7.9,16.7,47.4,2.3,5.9,39.3,3.3,3.7,88.6,3.9,6.0,1.4,0.5,2.1,5,0
27,4395625,RJ Barrett,2024-25,regular,2026-02-12T22:31:30.096861,27,RJ Barrett,F,58,32.2,21.1,7.9,16.9,46.8,1.8,5.3,35.0,3.4,5.4,63.0,6.3,5.4,0.8,0.3,2.9,10,2
28,4437244,Jalen Green,2024-25,regular,2026-02-12T22:31:30.096915,28,Jalen Green,G,82,32.9,21.0,7.4,17.5,42.3,2.9,8.1,35.4,3.3,4.1,81.3,4.6,3.4,0.9,0.3,2.5,4,0
29,4396907,Darius Garland,2024-25,regular,2026-02-12T22:31:30.096970,29,Darius Garland,G,75,30.7,20.6,7.4,15.7,47.2,2.8,7.1,40.1,3.0,3.4,87.8,2.9,6.7,1.2,0.1,2.5,7,0
30,4277956,Jordan Poole,2024-25,regular,2026-02-12T22:31:30.097026,30,Jordan Poole,G,68,29.4,20.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4.0,88.3,3.0,4.5,1.3,0.4,3.0,1,0
31,4395651,Coby White,2024-25,regular,2026-02-12T22:31:30.097082,31,Coby White,G,74,33.1,20.4,6.9,15.1,45.3,2.9,7.9,37.0,3.7,4.1,90.2,3.7,4.5,0.9,0.2,2.4,2,0
32,4066383,Miles Bridges,2024-25,regular,2026-02-12T22:31:30.097138,32,Miles Bridges,F,64,31.7,20.3,7.3,17.0,43.1,2.2,7.0,31.3,3.5,4.0,87.0,7.5,3.9,0.7,0.7,2.1,14,1
33,3149673,Pascal Siakam,2024-25,regular,2026-02-12T22:31:30.097192,33,Pascal Siakam,F,78,32.7,20.2,7.9,15.2,51.9,1.6,4.2,38.9,2.9,3.9,73.4,6.9,3.4,0.9,0.5,1.4,11,0
34,4066457,Austin Reaves,2024-25,regular,2026-02-12T22:31:30.097246,34,Austin Reaves,G,73,34.9,20.2,6.5,14.2,46.0,2.7,7.3,37.7,4.4,5.0,87.7,4.5,5.8,1.1,0.3,2.4,9,1
35,4433134,Scottie Barnes,2024-25,regular,2026-02-12T22:31:30.097298,35,Scottie Barnes,F,65,32.8,19.3,7.3,16.4,44.6,1.2,4.3,27.1,3.5,4.6,75.5,7.7,5.8,1.4,1.0,2.8,26,1
36,4351851,Anfernee Simons,2024-25,regular,2026-02-12T22:31:30.097351,36,Anfernee Simons,G,70,32.7,19.3,6.8,16.1,42.6,3.1,8.5,36.3,2.5,2.8,90.2,2.7,4.8,0.9,0.1,2.0,2,0
37,4066320,Desmond Bane,2024-25,regular,2026-02-12T22:31:30.097403,37,Desmond Bane,G,69,32.0,19.2,7.1,14.8,48.4,2.4,6.1,39.2,2.6,2.9,89.4,6.1,5.3,1.2,0.4,2.4,10,1
38,3155942,Domantas Sabonis,2024-25,regular,2026-02-12T22:31:30.097458,38,Domantas Sabonis,F,70,34.7,19.1,7.5,12.8,59.0,0.9,2.2,41.7,3.1,4.1,75.4,13.9,6.0,0.7,0.4,2.9,61,10
39,4871144,Alperen Sengun,2024-25,regular,2026-02-12T22:31:30.097509,39,Alperen Sengun,C,76,31.5,19.1,7.5,15.0,49.6,0.3,1.2,23.3,3.9,5.6,69.2,10.3,4.9,1.1,0.8,2.6,45,4
40,3064514,Julius Randle,2024-25,regular,2026-02-12T22:31:30.097733,40,Julius Randle,F,69,32.3,18.7,6.6,13.6,48.5,1.6,4.6,34.4,3.9,4.9,80.6,7.1,4.7,0.7,0.2,2.8,14,0
41,4396993,Tyrese Haliburton,2024-25,regular,2026-02-12T22:31:30.097809,41,Tyrese Haliburton,G,73,33.6,18.6,6.5,13.8,47.3,3.0,7.7,38.8,2.6,3.0,85.1,3.5,9.2,1.4,0.7,1.6,31,0
42,4914336,Shaedon Sharpe,2024-25,regular,2026-02-12T22:31:30.097873,42,Shaedon Sharpe,G,72,31.3,18.5,6.9,15.3,45.2,2.0,6.6,31.1,2.6,3.4,78.5,4.5,2.8,0.9,0.2,2.1,3,0
43,4432158,Evan Mobley,2024-25,regular,2026-02-12T22:31:30.097929,43,Evan Mobley,C,71,30.5,18.5,7.1,12.8,55.7,1.2,3.2,37.0,3.1,4.3,72.5,9.3,3.2,0.9,1.6,2.0,37,0
44,6478,Nikola Vucevic,2024-25,regular,2026-02-12T22:31:30.097988,44,Nikola Vucevic,C,73,31.2,18.5,7.5,14.2,53.0,1.8,4.4,40.2,1.6,2.0,80.5,10.1,3.5,0.8,0.7,1.6,45,1
45,4277811,Collin Sexton,2024-25,regular,2026-02-12T22:31:30.098238,45,Collin Sexton,G,63,27.9,18.4,6.6,13.8,48.0,1.7,4.3,40.6,3.4,4.0,86.5,2.7,4.2,0.7,0.1,2.5,2,0
46,4278104,Michael Porter Jr.,2024-25,regular,2026-02-12T22:31:30.098302,46,Michael Porter Jr.,F,77,33.7,18.2,6.9,13.6,50.4,2.5,6.4,39.5,1.9,2.5,76.8,7.0,2.1,0.6,0.5,1.4,15,0
47,4066261,Bam Adebayo,2024-25,regular,2026-02-12T22:31:30.098361,47,Bam Adebayo,C,78,34.3,18.1,6.9,14.3,48.5,1.0,2.8,35.7,3.2,4.2,76.5,9.6,4.3,1.3,0.7,2.1,38,1
48,3934719,OG Anunoby,2024-25,regular,2026-02-12T22:31:30.098424,48,OG Anunoby,F,74,36.6,18.0,6.6,13.9,47.6,2.3,6.2,37.2,2.5,3.1,81.0,4.8,2.2,1.5,0.9,1.4,1,0
49,3059319,Andrew Wiggins,2024-25,regular,2026-02-12T22:31:30.098484,49,Andrew Wiggins,F,60,30.7,18.0,6.3,14.0,44.8,2.2,5.8,37.4,3.3,4.3,76.3,4.5,2.6,1.0,0.8,1.7,3,0
50,3147657,Mikal Bridges,2024-25,regular,2026-02-12T22:31:30.098544,50,Mikal Bridges,G,82,37.0,17.6,7.2,14.4,50.0,2.0,5.6,35.4,1.2,1.4,81.4,3.2,3.7,0.9,0.5,1.6,1,0
51,4066262,M. Monk,2024-25,regular,2026-02-12T22:31:30.098607,51,M. Monk,G,65,31.6,17.2,6.3,14.4,43.9,2.1,6.6,32.5,2.4,2.7,86.5,3.8,5.6,0.9,0.6,2.4,4,0
52,4065732,D. Hunter,2024-25,regular,2026-02-12T22:31:30.098672,52,D. Hunter,F,64,27.2,17.0,5.6,11.9,47.0,2.5,6.1,40.5,3.4,4.0,84.6,4.0,1.4,0.8,0.2,1.3,2,0
53,4683021,D. Avdija,2024-25,regular,2026-02-12T22:31:30.098734,53,D. Avdija,F,72,30.0,16.9,5.6,11.7,47.6,1.7,4.8,36.5,4.0,5.2,78.0,7.3,3.9,1.0,0.5,2.7,17,2
54,4433627,K. George,2024-25,regular,2026-02-12T22:31:30.098795,54,K. George,G,67,31.5,16.8,5.4,13.7,39.1,2.6,7.6,34.3,3.5,4.3,81.8,3.8,5.6,0.7,0.1,2.7,4,0
55,4017837,I. Zubac,2024-25,regular,2026-02-12T22:31:30.098854,55,I. Zubac,C,80,32.8,16.8,7.4,11.8,62.8,0.0,0.0,0.0,2.0,3.0,66.1,12.6,2.7,0.7,1.1,1.6,59,1
56,3078576,D. White,2024-25,regular,2026-02-12T22:31:30.098917,56,D. White,G,76,33.9,16.4,5.6,12.6,44.2,3.5,9.1,38.4,1.8,2.1,83.9,4.5,4.8,0.9,1.1,1.7,4,0
57,3907822,M. Beasley,2024-25,regular,2026-02-12T22:31:30.098976,57,M. Beasley,SG,82,27.8,16.3,5.6,13.1,43.0,3.9,9.3,41.6,1.2,1.7,67.9,2.6,1.7,0.9,0.1,1.0,1,0
58,4395630,D. Vassell,2024-25,regular,2026-02-12T22:31:30.099035,58,D. Vassell,G,64,31.0,16.3,6.2,13.9,44.3,2.5,6.7,36.8,1.5,1.9,79.2,4.0,2.9,1.3,0.5,1.4,2,0
59,4683634,B. Mathurin,2024-25,regular,2026-02-12T22:31:30.099096,59,B. Mathurin,G,72,29.8,16.1,5.4,11.8,45.8,1.4,4.0,34.0,3.8,4.6,83.1,5.3,1.9,0.7,0.3,1.9,8,0
60,3133628,M. Turner,2024-25,regular,2026-02-12T22:31:30.099158,60,M. Turner,C,72,30.2,15.6,5.4,11.3,48.1,2.2,5.5,39.6,2.6,3.3,77.3,6.5,1.5,0.8,2.0,1.7,13,0
61,4431767,C. Braun,2024-25,regular,2026-02-12T22:31:30.099226,61,C. Braun,G,79,33.9,15.4,6.0,10.4,58.0,1.1,2.8,39.7,2.2,2.7,82.7,5.2,2.6,1.1,0.5,1.0,6,0
62,3133603,K. Oubre Jr.,2024-25,regular,2026-02-12T22:31:30.099311,62,K. Oubre Jr.,G,60,34.6,15.1,5.8,12.4,47.0,1.2,4.0,29.3,2.3,3.1,75.1,6.1,1.8,1.5,0.5,1.3,10,0
63,3134907,K. Kuzma,2024-25,regular,2026-02-12T22:31:30.099374,63,K. Kuzma,F,65,29.8,14.8,5.7,13.0,43.6,1.5,4.8,30.7,2.0,3.1,63.4,5.7,2.3,0.6,0.3,2.2,6,0
64,4845367,S. Castle,2024-25,regular,2026-02-12T22:31:30.099585,64,S. Castle,G,81,26.7,14.7,5.2,12.2,42.8,1.2,4.1,28.5,3.1,4.2,72.4,3.7,4.1,0.9,0.3,2.2,6,0
65,4871145,J. Giddey,2024-25,regular,2026-02-12T22:31:30.099781,65,J. Giddey,G,70,30.2,14.6,5.3,11.4,46.5,1.5,4.0,37.8,2.5,3.2,78.1,8.1,7.2,1.2,0.6,2.9,30,7
66,4397014,Q. Grimes,2024-25,regular,2026-02-12T22:31:30.099923,66,Q. Grimes,G,75,26.8,14.6,5.1,11.0,46.7,2.2,5.6,38.5,2.2,2.9,75.7,4.3,3.0,1.0,0.3,1.9,4,0
67,4066354,P. Pritchard,2024-25,regular,2026-02-12T22:31:30.100065,67,P. Pritchard,G,80,28.4,14.3,5.1,10.8,47.2,3.2,7.8,40.7,0.9,1.1,84.5,3.8,3.5,0.9,0.2,1.0,5,0
68,4396971,N. Reid,2024-25,regular,2026-02-12T22:31:30.100198,68,N. Reid,C,80,27.5,14.2,5.3,11.5,46.2,2.2,5.8,37.9,1.4,1.8,77.6,6.0,2.3,0.7,0.9,1.4,10,0
69,4869342,D. Daniels,2024-25,regular,2026-02-12T22:31:30.100331,69,D. Daniels,G,76,33.8,14.1,6.0,12.1,49.3,1.1,3.1,34.0,1.1,1.8,59.3,5.9,4.4,3.0,0.7,2.0,9,0
70,2991230,F. VanVleet,2024-25,regular,2026-02-12T22:31:30.100471,70,F. VanVleet,G,60,35.2,14.1,4.8,12.7,37.8,2.7,7.7,34.5,1.9,2.3,81.0,3.7,5.6,1.6,0.4,1.5,4,0
71,4684740,A. Thompson,2024-25,regular,2026-02-12T22:31:30.100609,71,A. Thompson,G,69,32.2,14.1,5.6,10.1,55.7,0.4,1.3,27.5,2.4,3.6,68.4,8.2,3.8,1.4,1.3,2.0,21,3
72,3155526,D. Brooks,2024-25,regular,2026-02-12T22:31:30.100745,72,D. Brooks,F,75,31.8,14.0,5.1,11.9,42.9,2.5,6.3,39.7,1.3,1.6,81.8,3.7,1.7,0.8,0.2,1.0,0,0
73,6475,K. Thompson,2024-25,regular,2026-02-12T22:31:30.100880,73,K. Thompson,G,72,27.3,14.0,5.0,12.2,41.2,3.0,7.7,39.1,0.9,1.0,90.5,3.4,2.0,0.7,0.4,1.2,0,0
74,6440,T. Harris,2024-25,regular,2026-02-12T22:31:30.101014,74,T. Harris,F,73,31.6,13.7,5.3,11.0,47.7,1.2,3.6,34.5,2.0,2.3,86.1,5.9,2.2,1.0,0.8,1.2,5,0
75,3062679,J. Hart,2024-25,regular,2026-02-12T22:31:30.101106,75,J. Hart,G,77,37.6,13.6,5.2,10.0,52.5,1.1,3.3,33.3,2.1,2.7,77.6,9.6,5.9,1.5,0.4,2.1,34,9
76,4066328,J. Allen,2024-25,regular,2026-02-12T22:31:30.101167,76,J. Allen,C,82,28.0,13.5,5.5,7.8,70.6,0.0,0.1,0.0,2.4,3.4,71.8,9.7,1.9,0.9,0.9,1.2,40,0
77,4431680,O. Okongwu,2024-25,regular,2026-02-12T22:31:30.101223,77,O. Okongwu,F,74,27.9,13.4,5.2,9.2,56.7,0.6,2.0,32.4,2.2,2.9,75.9,8.9,2.3,0.9,0.9,1.2,28,0
78,3468,R. Westbrook,2024-25,regular,2026-02-12T22:31:30.101280,78,R. Westbrook,G,75,27.9,13.3,5.0,11.1,44.9,1.3,3.9,32.3,2.1,3.1,66.1,4.9,6.1,1.4,0.5,3.2,13,4
79,4278594,N. Marshall,2024-25,regular,2026-02-12T22:31:30.101333,79,N. Marshall,F,69,27.8,13.2,5.2,10.3,50.8,0.9,3.2,27.5,1.9,2.3,81.3,4.8,3.0,1.0,0.2,1.6,6,0
80,4066648,R. Hachimura,2024-25,regular,2026-02-12T22:31:30.101385,80,R. Hachimura,F,59,31.7,13.1,5.0,9.8,50.9,1.7,4.2,41.3,1.5,1.9,77.0,5.0,1.4,0.8,0.4,0.8,1,0
81,3032979,D. Schroder,2024-25,regular,2026-02-12T22:31:30.101438,81,D. Schroder,G,75,28.1,13.1,4.5,11.0,40.6,1.7,4.9,34.2,2.4,2.9,83.8,2.6,5.4,0.9,0.2,1.9,7,0
82,3448,B. Lopez,2024-25,regular,2026-02-12T22:31:30.101491,82,B. Lopez,C,80,31.8,13.0,4.9,9.7,50.9,1.7,4.7,37.3,1.4,1.7,82.6,5.0,1.8,0.6,1.9,1.1,4,0
83,5160992,A. Sarr,2024-25,regular,2026-02-12T22:31:30.101545,83,A. Sarr,C,67,27.1,13.0,4.9,12.4,39.4,1.6,5.1,30.8,1.7,2.5,67.9,6.5,2.4,0.7,1.5,1.7,10,0
84,4395723,K. Johnson,2024-25,regular,2026-02-12T22:31:30.101598,84,K. Johnson,F,77,23.9,12.7,4.8,10.0,48.2,1.1,3.6,31.8,1.9,2.5,77.3,4.8,1.6,0.6,0.3,1.0,3,0
85,4683678,S. Henderson,2024-25,regular,2026-02-12T22:31:30.101655,85,S. Henderson,G,66,26.7,12.7,4.3,10.4,41.9,1.6,4.5,35.4,2.4,3.1,76.7,3.0,5.1,1.0,0.2,2.7,2,0
86,3136776,D. Russell,2024-25,regular,2026-02-12T22:31:30.101707,86,D. Russell,G,58,25.5,12.6,4.3,11.0,39.0,1.9,6.2,31.4,2.1,2.5,83.4,2.8,5.1,1.0,0.4,1.9,4,0
87,5211175,Z. Risacher,2024-25,regular,2026-02-12T22:31:30.101762,87,Z. Risacher,F,75,24.6,12.6,4.8,10.4,45.8,1.6,4.6,35.5,1.4,2.0,71.1,3.6,1.2,0.7,0.5,1.2,1,0
88,4065733,T. Jerome,2024-25,regular,2026-02-12T22:31:30.101812,88,T. Jerome,G,70,19.9,12.5,4.6,8.8,51.6,1.6,3.6,43.9,1.8,2.1,87.2,2.5,3.4,1.1,0.0,1.3,0,0
89,4593125,S. Aldama,2024-25,regular,2026-02-12T22:31:30.101864,89,S. Aldama,F,65,25.5,12.5,4.8,10.0,48.3,1.8,5.0,36.8,1.0,1.4,69.1,6.4,2.9,0.8,0.4,1.1,10,0
90,4594327,K. Murray,2024-25,regular,2026-02-12T22:31:30.101916,90,K. Murray,F,76,34.3,12.4,4.8,10.8,44.4,2.0,5.9,34.3,0.8,0.9,83.3,6.7,1.4,0.8,0.9,0.8,11,0
91,6578,H. Barnes,2024-25,regular,2026-02-12T22:31:30.101968,91,H. Barnes,F,82,27.2,12.3,4.2,8.3,50.8,1.9,4.4,43.3,2.0,2.4,80.9,3.8,1.7,0.5,0.2,0.6,1,0
92,5104155,B. Coulibaly,2024-25,regular,2026-02-12T22:31:30.102023,92,B. Coulibaly,G,59,33.0,12.3,4.5,10.6,42.1,1.1,3.8,28.1,2.3,3.1,74.6,5.0,3.4,1.3,0.7,2.1,3,1
93,4431671,J. McDaniels,2024-25,regular,2026-02-12T22:31:30.102074,93,J. McDaniels,F,82,31.9,12.2,4.9,10.2,47.7,1.2,3.7,33.0,1.3,1.6,81.3,5.7,2.0,1.3,0.9,1.2,10,0
94,2991043,C. LeVert,2024-25,regular,2026-02-12T22:31:30.102129,94,C. LeVert,G,64,24.9,12.1,4.4,9.4,46.7,1.7,4.4,37.3,1.7,2.4,71.0,3.2,3.4,0.9,0.5,1.2,1,0
95,3032976,R. Gobert,2024-25,regular,2026-02-12T22:31:30.102180,95,R. Gobert,C,72,33.2,12.0,4.7,7.1,66.9,0.0,0.0,0.0,2.6,3.8,67.4,10.9,1.8,0.8,1.4,1.2,36,0
96,4397183,A. Wiggins,2024-25,regular,2026-02-12T22:31:30.102236,96,A. Wiggins,G,76,22.9,12.0,4.7,9.6,48.8,1.7,4.5,38.3,1.0,1.2,83.1,3.9,1.8,0.8,0.2,0.9,2,0
97,4433621,J. Duren,2024-25,regular,2026-02-12T22:31:30.102289,97,J. Duren,C,78,26.1,11.8,4.8,7.0,69.2,0.0,0.0,0.0,2.1,3.1,66.9,10.3,2.7,0.7,1.1,1.7,41,0
98,4709138,B. Podziemski,2024-25,regular,2026-02-12T22:31:30.102341,98,B. Podziemski,G,64,26.8,11.7,4.4,9.8,44.5,1.8,4.8,37.2,1.1,1.5,75.8,5.1,3.4,1.1,0.2,1.2,2,0
99,3934673,D. DiVincenzo,2024-25,regular,2026-02-12T22:31:30.102393,99,D. DiVincenzo,G,62,25.9,11.7,4.0,9.6,42.2,2.8,7.1,39.7,0.8,1.0,77.8,3.7,3.6,1.2,0.3,1.6,1,0
100,4280151,C. Kispert,2024-25,regular,2026-02-12T22:31:30.102449,100,C. Kispert,F,61,26.3,11.6,4.2,9.3,45.1,2.0,5.4,36.4,1.2,1.4,85.2,3.0,1.7,0.4,0.2,1.0,0,0
101,4431736,T. Camara,2024-25,regular,2026-02-12T22:31:30.102502,101,T. Camara,F,78,32.7,11.3,4.2,9.2,45.8,1.7,4.6,37.5,1.2,1.6,72.2,5.8,2.2,1.5,0.6,1.4,4,0
102,4277843,G. Trent Jr.,2024-25,regular,2026-02-12T22:31:30.102557,102,G. Trent Jr.,G,74,25.6,11.1,3.8,8.9,43.1,2.4,5.9,41.6,1.1,1.2,84.8,2.3,1.2,1.0,0.1,0.6,0,0
103,2990984,B. Hield,2024-25,regular,2026-02-12T22:31:30.102609,103,B. Hield,G,82,22.7,11.1,4.0,9.6,41.7,2.5,6.7,37.0,0.6,0.8,82.8,3.2,1.6,0.8,0.3,1.1,0,0
104,3995,J. Holiday,2024-25,regular,2026-02-12T22:31:30.102666,104,J. Holiday,G,62,30.6,11.1,4.1,9.2,44.3,1.7,4.9,35.3,1.1,1.2,90.9,4.3,3.9,1.1,0.4,1.2,1,0
105,4433136,W. Kessler,2024-25,regular,2026-02-12T22:31:30.102719,105,W. Kessler,C,58,30.0,11.1,4.8,7.2,66.3,0.1,0.6,17.6,1.4,2.6,52.0,12.2,1.7,0.6,2.4,1.5,28,0
106,3157465,D. Robinson,2024-25,regular,2026-02-12T22:31:30.102774,106,D. Robinson,F,74,24.1,11.0,3.9,9.0,43.7,2.6,6.5,39.3,0.6,0.7,88.7,2.3,2.4,0.5,0.1,1.2,0,0
107,2580782,S. Dinwiddie,2024-25,regular,2026-02-12T22:31:30.102827,107,S. Dinwiddie,PG,79,27.0,11.0,3.6,8.6,41.6,1.4,4.1,33.4,2.5,3.1,80.2,2.6,4.4,0.9,0.2,1.3,5,0
108,4017844,G. Yabusele,2024-25,regular,2026-02-12T22:31:30.102880,108,G. Yabusele,F,70,27.1,11.0,4.0,8.0,50.1,1.5,3.9,38.0,1.4,2.0,72.5,5.6,2.1,0.8,0.3,1.2,3,0
109,2528210,T. Hardaway Jr.,2024-25,regular,2026-02-12T22:31:30.102931,109,T. Hardaway Jr.,G,77,28.0,11.0,3.6,8.8,40.6,2.2,5.9,36.8,1.6,1.9,85.5,2.4,1.6,0.5,0.1,0.6,0,0
110,5105839,B. Sensabaugh,2024-25,regular,2026-02-12T22:31:30.102987,110,B. Sensabaugh,F,71,20.2,10.9,3.9,8.4,45.9,2.2,5.2,42.2,0.9,1.0,89.0,3.0,1.5,0.6,0.1,1.5,0,0
111,3135045,G. Allen,2024-25,regular,2026-02-12T22:31:30.103042,111,G. Allen,G,64,24.1,10.6,3.4,7.6,44.8,2.3,5.5,42.6,1.5,1.8,81.6,3.0,2.1,0.8,0.3,1.2,1,0
112,4432192,K. Johnson,2024-25,regular,2026-02-12T22:31:30.103096,112,K. Johnson,G,79,24.4,10.6,3.8,9.9,38.9,1.6,5.1,31.4,1.4,1.8,77.0,3.8,2.2,1.0,0.4,1.5,0,0
113,3074752,T. Rozier,2024-25,regular,2026-02-12T22:31:30.103150,113,T. Rozier,G,64,25.9,10.6,3.9,9.9,39.1,1.4,4.8,29.5,1.4,1.7,85.2,3.7,2.6,0.6,0.2,1.2,0,0
114,4278355,O. Toppin,2024-25,regular,2026-02-12T22:31:30.103218,114,O. Toppin,F,79,19.6,10.5,4.0,7.6,52.9,1.4,3.8,36.5,1.1,1.4,78.1,4.0,1.6,0.6,0.4,0.9,2,0
115,4397018,O. Agbaji,2024-25,regular,2026-02-12T22:31:30.103320,115,O. Agbaji,G,64,27.2,10.4,4.2,8.3,49.8,1.6,4.0,39.9,0.5,0.8,70.8,3.8,1.5,0.9,0.5,0.8,0,0
