rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
1,4278073,Shai Gilgeous-Alexander,2024-25,regular,2026-02-12T22:31:30.095396,1,Shai Gilgeous-Alexander,G,76,34.2,32.7,11.3,21.8,51.9,2.1,5.7,37.5,7.9,8.8,89.8,5.0,6.4,1.7,1.0,2.4,6,0
2,3032977,Giannis Antetokounmpo,2024-25,regular,2026-02-12T22:31:30.095473,2,Giannis Antetokounmpo,F,67,34.2,30.4,11.8,19.7,60.1,0.2,0.9,22.2,6.5,10.6,61.7,11.9,6.5,0.9,1.2,3.1,55,11
3,3112335,Nikola Jokic,2024-25,regular,2026-02-12T22:31:30.095538,3,Nikola Jokic,C,70,36.7,29.6,11.2,19.5,57.6,2.0,4.7,41.7,5.2,6.4,80.0,12.7,10.2,1.8,0.6,3.3,59,34
4,4594268,Anthony Edwards,2024-25,regular,2026-02-12T22:31:30.095608,4,Anthony Edwards,G,79,36.3,27.6,9.1,20.4,44.7,4.1,10.3,39.5,5.3,6.3,83.7,5.7,4.5,1.2,0.6,3.2,7,0
5,4065648,Jayson Tatum,2024-25,regular,2026-02-12T22:31:30.095670,5,Jayson Tatum,F,72,36.4,26.8,9.2,20.3,45.2,3.5,10.1,34.3,5.0,6.1,81.4,8.7,6.0,1.1,0.5,2.9,31,2
6,3202,Kevin Durant,2024-25,regular,2026-02-12T22:31:30.095726,6,Kevin Durant,F,62,36.5,26.6,9.5,18.1,52.7,2.6,6.0,43.0,4.9,5.8,83.9,6.0,4.2,0.8,1.2,3.1,5,0
7,4432166,Cade Cunningham,2024-25,regular,2026-02-12T22:31:30.095782,7,Cade Cunningham,G,70,35.0,26.1,9.8,20.8,46.9,2.1,6.0,35.6,4.5,5.3,84.6,6.1,9.1,1.0,0.8,4.4,31,9
8,3934672,Jalen Brunson,2024-25,regular,2026-02-12T22:31:30.095835,8,Jalen Brunson,G,65,35.4,26.0,9.0,18.5,48.8,2.3,6.1,38.3,5.7,6.9,82.1,2.9,7.3,0.9,0.1,2.5,14,0
9,3136193,Devin Booker,2024-25,regular,2026-02-12T22:31:30.095891,9,Devin Booker,G,75,37.3,25.6,8.7,18.9,46.1,2.4,7.3,33.2,5.8,6.4,89.4,4.1,7.1,0.9,0.2,2.9,16,0
10,6606,Damian Lillard,2024-25,regular,2026-02-12T22:31:30.095943,10,Damian Lillard,G,58,36.1,24.9,7.7,17.1,44.8,3.4,9.0,37.6,6.2,6.8,92.1,4.7,7.1,1.2,0.2,2.8,14,2
