rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
39,4433134,Scottie Barnes,2023-24,regular,2026-02-12T22:29:26.290448,39,Scottie Barnes,F,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,8.2,6.1,1.3,1.5,2.8,25,4
40,3074752,Terry Rozier,2023-24,regular,2026-02-12T22:29:26.290500,40,Terry Rozier,G,61,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,4.0,5.6,1.0,0.3,1.7,4,0
41,4566434,Franz Wagner,2023-24,regular,2026-02-12T22:29:26.290552,41,Franz Wagner,F,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85.0,5.3,3.7,1.1,0.4,1.9,0,0
42,4437244,Jalen Green,2023-24,regular,2026-02-12T22:29:26.290606,42,Jalen Green,G,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,5.2,3.5,0.8,0.3,2.3,7,1
43,3147657,Mikal Bridges,2023-24,regular,2026-02-12T22:29:26.290658,43,Mikal Bridges,G,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,4.5,3.6,1.0,0.4,2.0,3,0
44,4395630,Devin Vassell,2023-24,regular,2026-02-12T22:29:26.290984,44,Devin Vassell,G,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3.0,80.1,3.8,4.1,1.1,0.3,1.6,0,0
45,3155942,Domantas Sabonis,2023-24,regular,2026-02-12T22:29:26.291053,45,Domantas Sabonis,F,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,13.7,8.2,0.9,0.6,3.3,77,26
46,4066261,Bam Adebayo,2023-24,regular,2026-02-12T22:29:26.291122,46,Bam Adebayo,C,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,10.4,3.9,1.1,0.9,2.3,42,2
47,4395651,Coby White,2023-24,regular,2026-02-12T22:29:26.291206,47,Coby White,G,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,4.5,5.1,0.7,0.2,2.1,5,0
48,4593803,Jalen Williams,2023-24,regular,2026-02-12T22:29:26.291297,48,Jalen Williams,G,71,31.3,19.1,7.5,14.0,54.0,1.5,3.4,42.7,2.5,3.1,81.4,4.0,4.5,1.1,0.6,1.7,3,0
49,4277811,Collin Sexton,2023-24,regular,2026-02-12T22:29:26.291376,49,Collin Sexton,G,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,2.6,4.9,0.8,0.2,2.1,4,0
50,6478,Nikola Vucevic,2023-24,regular,2026-02-12T22:29:26.291437,50,Nikola Vucevic,C,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,10.5,3.3,0.7,0.8,1.6,45,0
51,3136776,D. Russell,2023-24,regular,2026-02-12T22:29:26.291496,51,D. Russell,G,76,32.7,18.0,6.5,14.2,45.6,3.0,7.2,41.5,2.1,2.5,82.8,3.1,6.3,0.9,0.5,2.1,10,0
52,6475,K. Thompson,2023-24,regular,2026-02-12T22:29:26.291562,52,K. Thompson,G,77,29.7,17.9,6.4,14.7,43.2,3.5,9.0,38.7,1.6,1.8,92.7,3.3,2.3,0.6,0.5,1.5,0,0
53,2991230,F. VanVleet,2023-24,regular,2026-02-12T22:29:26.291618,53,F. VanVleet,G,73,36.8,17.4,5.8,13.9,41.6,3.1,8.0,38.7,2.7,3.1,86.0,3.8,8.1,1.4,0.8,1.7,20,0
54,4277956,J. Poole,2023-24,regular,2026-02-12T22:29:26.291676,54,J. Poole,G,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,2.7,4.4,1.1,0.3,2.4,4,0
55,4433287,B. Miller,2023-24,regular,2026-02-12T22:29:26.291729,55,B. Miller,F,74,32.2,17.3,6.4,14.6,44.0,2.5,6.7,37.3,1.9,2.3,82.7,4.3,2.4,0.9,0.6,1.8,1,0
56,6440,T. Harris,2023-24,regular,2026-02-12T22:29:26.291785,56,T. Harris,F,70,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3.0,87.8,6.5,3.1,1.0,0.7,1.3,9,0
57,3133628,M. Turner,2023-24,regular,2026-02-12T22:29:26.291840,57,M. Turner,C,77,27.0,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,6.9,1.3,0.5,1.9,1.4,17,0
58,4395724,I. Quickley,2023-24,regular,2026-02-12T22:29:26.291896,58,I. Quickley,G,68,29.2,17.0,5.7,13.1,43.4,2.5,6.4,39.5,3.1,3.6,85.3,3.8,4.9,0.7,0.1,1.5,8,0
59,3037789,B. Bogdanovic,2023-24,regular,2026-02-12T22:29:26.291950,59,B. Bogdanovic,G,79,30.4,16.9,6.0,13.9,42.8,3.0,8.1,37.4,1.9,2.1,92.1,3.4,3.1,1.2,0.3,1.4,1,0
60,4278104,M. Porter Jr.,2023-24,regular,2026-02-12T22:29:26.292004,60,M. Porter Jr.,F,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,7.0,1.5,0.5,0.7,1.1,14,0
61,3992,J. Harden,2023-24,regular,2026-02-12T22:29:26.292057,61,J. Harden,G,72,34.3,16.6,4.9,11.4,42.8,2.6,6.8,38.1,4.2,4.8,87.8,5.1,8.5,1.1,0.8,2.6,23,3
62,4433255,C. Holmgren,2023-24,regular,2026-02-12T22:29:26.292110,62,C. Holmgren,C,82,29.4,16.5,6.2,11.6,53.0,1.6,4.3,37.0,2.7,3.4,79.3,7.9,2.4,0.6,2.3,1.6,23,0
63,4066328,J. Allen,2023-24,regular,2026-02-12T22:29:26.292163,63,J. Allen,C,77,31.7,16.5,6.7,10.6,63.4,0.0,0.1,0.0,3.0,4.1,74.2,10.5,2.7,0.7,1.1,1.6,42,0
64,4433247,J. Kuminga,2023-24,regular,2026-02-12T22:29:26.292218,64,J. Kuminga,F,74,26.4,16.1,6.2,11.6,52.9,0.7,2.2,32.1,3.0,4.0,74.6,4.8,2.2,0.7,0.5,1.6,5,0
