rank,team_name,team_abbrev,off_rk,off_gp,off_pts,off_fgm,off_fga,off_fg_pct,off_3pm,off_3pa,off_3p_pct,off_ftm,off_fta,off_ft_pct,off_or,off_dr,off_reb,off_ast,off_stl,off_blk,off_to,off_pf,season,season_type
1,Indiana Pacers,ind,-,82,123.3,47.0,92.7,50.7,13.2,35.3,37.4,16.1,20.5,78.2,10.1,31.4,41.5,30.8,7.7,5.9,12.3,21.4,2023-24,regular
2,Boston Celtics,bos,-,82,120.6,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,6.8,6.6,11.3,16.2,2023-24,regular
3,Oklahoma City Thunder,okc,-,82,120.1,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42.0,27.1,8.5,6.6,11.8,18.8,2023-24,regular
4,Milwaukee Bucks,mil,-,82,119.0,43.1,88.5,48.7,14.2,38.1,37.3,18.5,23.9,77.4,9.4,34.8,44.2,26.5,6.8,5.0,12.4,19.2,2023-24,regular
5,Atlanta Hawks,atl,-,82,118.3,43.0,92.5,46.5,13.7,37.7,36.4,18.5,23.2,79.7,12.5,32.2,44.7,26.6,7.5,4.5,12.8,18.6,2023-24,regular
6,Los Angeles Lakers,lal,-,82,118.0,43.7,87.5,49.9,11.8,31.4,37.7,18.9,24.2,78.2,8.2,34.9,43.1,28.5,7.4,5.5,13.4,15.6,2023-24,regular
7,Dallas Mavericks,dal,-,82,117.9,43.1,89.7,48.1,14.6,39.5,36.9,17.0,22.5,75.8,9.7,33.2,42.9,25.7,6.9,5.0,12.1,18.3,2023-24,regular
8,Golden State Warriors,gs,-,82,117.8,43.7,91.6,47.7,14.8,38.9,38.0,15.6,20.0,78.0,12.1,34.6,46.7,29.3,7.0,4.6,13.7,19.5,2023-24,regular
9,Sacramento Kings,sac,-,82,116.6,43.3,90.9,47.7,14.4,39.3,36.6,15.5,20.9,74.5,10.8,33.2,44.0,28.3,7.6,4.2,12.5,19.9,2023-24,regular
10,Phoenix Suns,phx,-,82,116.2,42.5,86.1,49.3,12.4,32.6,38.2,18.9,23.4,80.8,10.1,33.9,44.1,27.0,7.4,6.0,14.1,18.0,2023-24,regular
11,Utah Jazz,utah,-,82,115.7,42.0,89.9,46.7,12.9,36.5,35.4,18.8,22.6,83.0,12.2,33.2,45.5,27.2,6.5,5.6,15.0,18.6,2023-24,regular
12,La Clippers,lac,-,82,115.6,42.4,86.7,48.9,12.6,33.2,38.1,18.3,22.2,82.5,10.0,32.9,43.0,25.6,7.8,5.0,12.2,18.5,2023-24,regular
13,New Orleans Pelicans,no,-,82,115.1,42.5,87.4,48.6,12.5,32.6,38.3,17.6,22.8,77.1,10.4,33.6,44.0,27.0,8.3,4.6,12.4,18.4,2023-24,regular
14,Denver Nuggets,den,-,82,114.9,44.0,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,7.1,5.6,11.8,18.2,2023-24,regular
15,Philadelphia 76Ers,phi,-,82,114.6,41.5,89.4,46.4,12.1,33.3,36.3,19.5,23.6,82.6,11.0,31.9,43.0,24.9,8.5,6.0,11.3,20.3,2023-24,regular
16,Houston Rockets,hou,-,82,114.3,41.8,91.0,45.9,12.7,36.1,35.2,18.1,23.4,77.3,11.5,34.0,45.5,24.8,7.8,4.6,12.2,20.8,2023-24,regular
17,Washington Wizards,wsh,-,82,113.7,43.0,91.4,47.0,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,7.6,5.1,13.5,20.0,2023-24,regular
18,Minnesota Timberwolves,min,-,82,113.0,41.3,85.0,48.5,12.6,32.7,38.7,17.8,22.9,77.7,9.4,34.2,43.6,26.6,7.9,6.1,13.4,18.8,2023-24,regular
19,New York Knicks,ny,-,82,112.8,41.3,88.7,46.5,13.2,35.8,36.9,17.0,21.8,78.0,12.7,32.5,45.2,24.4,7.5,4.1,12.2,17.6,2023-24,regular
