rank,team_name,team_abbrev,off_rk,off_gp,off_pts,off_fgm,off_fga,off_fg_pct,off_3pm,off_3pa,off_3p_pct,off_ftm,off_fta,off_ft_pct,off_or,off_dr,off_reb,off_ast,off_stl,off_blk,off_to,off_pf,season,season_type
20,Cleveland Cavaliers,cle,-,82,112.6,41.8,87.2,47.9,13.5,36.8,36.7,15.6,20.4,76.5,9.9,33.4,43.3,28.0,7.4,4.6,12.7,17.5,2023-24,regular
21,Toronto Raptors,tor,-,82,112.4,42.3,89.7,47.1,11.5,33.1,34.7,16.3,21.6,75.6,10.9,31.8,42.7,28.5,7.7,4.7,13.4,18.4,2023-24,regular
22,Chicago Bulls,chi,-,82,112.3,42.0,89.5,47.0,11.5,32.1,35.8,16.7,21.1,79.1,11.2,32.6,43.8,25.0,7.8,4.8,11.7,18.8,2023-24,regular
23,San Antonio Spurs,sa,-,82,112.1,41.9,90.7,46.2,12.6,36.4,34.7,15.6,20.0,78.2,10.4,33.9,44.2,29.9,7.1,6.3,14.6,17.2,2023-24,regular
24,Orlando Magic,orl,-,82,110.5,40.5,84.9,47.6,11.0,31.3,35.2,18.5,24.4,75.9,10.5,31.8,42.3,24.7,8.2,5.2,13.8,19.7,2023-24,regular
25,Brooklyn Nets,bkn,-,82,110.4,40.7,89.1,45.6,13.3,36.7,36.2,15.8,20.9,75.6,11.4,32.6,44.1,25.6,6.8,5.2,12.3,18.5,2023-24,regular
26,Miami Heat,mia,-,82,110.1,39.8,85.6,46.5,12.5,33.7,37.0,18.0,22.0,81.8,9.3,33.0,42.3,25.8,7.5,3.4,11.8,17.3,2023-24,regular
27,Detroit Pistons,det,-,82,109.9,40.9,88.2,46.3,11.0,31.7,34.8,17.0,21.7,78.5,10.5,32.8,43.3,25.5,6.5,4.7,14.6,20.6,2023-24,regular
28,Charlotte Hornets,cha,-,82,106.6,40.0,87.0,46.0,12.1,34.0,35.5,14.5,18.4,78.6,9.3,31.0,40.3,24.8,6.9,4.5,13.0,18.0,2023-24,regular
29,Portland Trail Blazers,por,-,82,106.4,39.4,89.7,43.9,11.5,33.2,34.5,16.2,20.5,79.1,12.6,30.1,42.7,23.1,7.6,4.3,14.4,20.2,2023-24,regular
30,Memphis Grizzlies,mem,-,82,105.8,38.4,88.2,43.5,13.1,37.8,34.6,16.0,21.0,76.4,10.9,31.7,42.6,24.7,8.2,6.1,14.2,19.1,2023-24,regular
