rank,team_name,team_abbrev,def_rk,def_gp,def_pts,def_fgm,def_fga,def_fg_pct,def_3pm,def_3pa,def_3p_pct,def_ftm,def_fta,def_ft_pct,def_or,def_dr,def_reb,def_ast,def_stl,def_blk,def_to,def_pf,season,season_type
1,Orlando Magic,orl,1,7,95.9,35.7,81.1,44.0,8.6,29.9,28.7,15.9,20.9,76.0,8.1,33.0,41.1,20.6,8.1,6.0,14.0,21.7,2023-24,playoffs
2,Oklahoma City Thunder,okc,2,10,99.4,36.6,84.9,43.1,11.8,34.0,34.7,14.4,19.8,72.7,12.2,33.1,45.3,22.6,6.9,5.6,15.1,19.6,2023-24,playoffs
3,Boston Celtics,bos,3,19,100.7,39.6,85.2,46.4,10.9,32.7,33.3,10.7,14.1,75.7,8.1,31.2,39.2,22.0,5.1,2.2,11.0,18.0,2023-24,playoffs
4,Minnesota Timberwolves,min,4,16,103.3,37.4,79.6,47.1,10.8,29.3,36.7,17.7,21.7,81.6,8.8,29.8,38.6,21.6,6.7,5.1,12.4,20.0,2023-24,playoffs
5,Dallas Mavericks,dal,5,22,103.4,37.5,84.6,44.3,12.2,34.8,35.1,16.1,20.2,80.0,10.0,30.7,40.7,22.6,6.8,4.9,10.5,19.7,2023-24,playoffs
6,Cleveland Cavaliers,cle,6,12,103.7,37.2,83.2,44.7,11.8,35.3,33.6,17.5,22.0,79.5,11.1,33.6,44.7,20.7,6.5,5.0,12.3,18.3,2023-24,playoffs
7,Denver Nuggets,den,7,12,104.3,39.3,82.1,47.9,10.2,30.7,33.2,15.4,20.4,75.5,8.4,33.5,41.9,24.3,6.7,5.1,10.8,18.3,2023-24,playoffs
8,New Orleans Pelicans,no,8,4,105.3,39.5,82.0,48.2,13.3,34.3,38.7,13.0,17.5,74.3,7.5,35.5,43.0,22.8,8.0,5.3,12.8,16.0,2023-24,playoffs
9,La Clippers,lac,9,6,107.0,38.2,82.2,46.5,11.7,34.8,33.5,19.0,26.2,72.6,12.0,30.3,42.3,21.2,7.2,6.3,10.3,20.2,2023-24,playoffs
10,Miami Heat,mia,10,5,107.8,38.6,81.4,47.4,15.0,39.0,38.5,15.6,20.6,75.7,9.0,36.6,45.6,22.8,5.8,5.2,10.2,15.6,2023-24,playoffs
11,Philadelphia 76Ers,phi,11,6,108.3,39.5,89.5,44.1,11.8,32.0,37.0,17.5,24.0,72.9,14.5,31.0,45.5,22.5,5.3,7.2,10.3,19.2,2023-24,playoffs
12,Los Angeles Lakers,lal,12,5,108.6,42.2,91.2,46.3,10.6,34.4,30.8,13.6,15.8,86.1,11.2,34.8,46.0,27.6,6.4,3.2,10.6,16.4,2023-24,playoffs
13,New York Knicks,ny,13,13,112.0,41.6,84.6,49.2,12.8,31.8,40.1,16.0,20.1,79.7,10.2,29.5,39.7,26.8,5.9,6.3,11.1,21.2,2023-24,playoffs
14,Indiana Pacers,ind,14,17,112.8,41.1,87.2,47.1,12.4,34.2,36.3,18.3,22.9,79.7,11.2,30.2,41.4,23.2,6.5,4.2,10.2,17.4,2023-24,playoffs
15,Milwaukee Bucks,mil,15,6,113.0,43.2,90.2,47.9,14.0,40.7,34.4,12.7,17.8,71.0,10.3,33.5,43.8,30.2,4.5,4.5,9.0,19.3,2023-24,playoffs
16,Phoenix Suns,phx,16,4,118.3,40.8,85.5,47.7,12.3,33.5,36.6,24.5,28.5,86.0,13.8,32.5,46.3,24.5,7.5,2.8,12.3,24.3,2023-24,playoffs
