rank,team_name,team_abbrev,off_rk,off_gp,off_pts,off_fgm,off_fga,off_fg_pct,off_3pm,off_3pa,off_3p_pct,off_ftm,off_fta,off_ft_pct,off_or,off_dr,off_reb,off_ast,off_stl,off_blk,off_to,off_pf,season,season_type
11,Milwaukee Bucks,mil,-,82,115.5,42.0,86.4,48.6,14.2,36.6,38.7,17.3,23.1,75.0,8.2,35.1,43.4,25.5,7.3,4.7,12.8,17.9,2024-25,regular
12,Detroit Pistons,det,-,82,115.5,42.7,89.8,47.6,12.8,35.4,36.2,17.2,22.3,77.4,11.4,33.4,44.8,26.4,8.0,5.3,14.1,20.7,2024-25,regular
13,Houston Rockets,hou,-,82,114.3,42.5,93.4,45.5,12.7,35.8,35.3,16.7,22.6,73.8,14.6,33.8,48.5,23.3,8.4,5.0,13.0,19.0,2024-25,regular
14,Minnesota Timberwolves,min,-,82,114.3,41.0,87.6,46.8,15.0,39.9,37.7,17.2,21.8,78.9,11.1,33.2,44.3,26.1,8.0,5.0,13.7,18.3,2024-25,regular
15,Dallas Mavericks,dal,-,82,114.2,42.0,87.7,47.9,12.4,34.2,36.4,17.8,23.1,77.0,10.1,33.0,43.0,25.2,7.8,5.4,13.3,17.8,2024-25,regular
16,San Antonio Spurs,sa,-,82,113.9,41.8,89.8,46.5,14.1,39.6,35.7,16.2,21.0,77.4,10.9,32.7,43.7,28.6,8.2,5.5,13.3,16.6,2024-25,regular
17,Golden State Warriors,gs,-,82,113.8,40.8,90.4,45.1,15.4,42.4,36.4,16.9,22.1,76.4,12.5,32.8,45.4,29.1,9.4,4.8,13.2,19.2,2024-25,regular
18,Phoenix Suns,phx,-,82,113.6,41.2,86.3,47.8,14.3,38.0,37.8,16.8,20.8,81.0,9.5,32.9,42.5,27.8,7.2,4.8,13.2,17.9,2024-25,regular
19,Los Angeles Lakers,lal,-,82,113.4,40.9,85.5,47.9,13.3,36.4,36.6,18.2,23.2,78.5,9.7,32.8,42.4,26.0,7.7,4.5,13.1,17.3,2024-25,regular
20,La Clippers,lac,-,82,112.9,41.6,86.3,48.2,12.5,33.4,37.3,17.3,21.7,79.7,10.3,33.5,43.8,25.2,9.4,4.5,13.8,18.3,2024-25,regular
21,Utah Jazz,utah,-,82,111.9,40.3,88.7,45.4,14.0,39.8,35.0,17.3,22.4,77.4,12.0,33.4,45.4,25.5,6.8,4.4,16.5,18.9,2024-25,regular
22,Portland Trail Blazers,por,-,82,110.9,40.5,90.2,45.0,12.9,37.7,34.2,16.9,22.2,76.2,13.4,31.4,44.8,23.8,8.3,5.3,15.1,19.0,2024-25,regular
23,Toronto Raptors,tor,-,82,110.9,41.6,91.0,45.8,11.8,34.0,34.8,15.8,21.1,74.8,12.6,32.5,45.1,28.5,8.1,4.2,14.7,21.2,2024-25,regular
24,Miami Heat,mia,-,82,110.6,40.5,87.0,46.5,13.7,37.3,36.7,16.0,20.2,79.1,9.7,33.7,43.4,26.4,8.1,3.8,12.6,15.5,2024-25,regular
25,New Orleans Pelicans,no,-,82,109.8,40.6,89.9,45.2,12.0,34.6,34.7,16.5,21.9,75.4,12.1,31.5,43.6,25.8,8.5,5.2,13.9,18.3,2024-25,regular
26,Philadelphia 76Ers,phi,-,82,109.6,39.7,87.4,45.4,12.7,37.2,34.1,17.5,22.5,78.0,10.4,29.4,39.8,23.2,9.2,4.5,12.8,19.0,2024-25,regular
27,Washington Wizards,wsh,-,82,108.0,39.4,89.9,43.9,13.1,39.1,33.5,16.0,20.6,77.8,10.6,33.1,43.7,25.1,7.6,5.1,14.9,19.7,2024-25,regular
28,Orlando Magic,orl,-,82,105.4,38.2,85.8,44.5,11.2,35.3,31.8,17.9,23.0,77.5,11.1,30.7,41.8,23.0,8.9,6.0,13.1,20.1,2024-25,regular
29,Brooklyn Nets,bkn,-,82,105.1,37.6,86.1,43.7,13.6,39.4,34.4,16.3,20.7,78.7,10.9,30.4,41.3,25.2,7.8,4.3,13.9,20.7,2024-25,regular
30,Charlotte Hornets,cha,-,82,105.1,38.3,89.1,43.0,13.0,38.3,33.9,15.5,19.8,78.3,12.2,33.0,45.2,24.3,7.4,4.5,14.9,18.7,2024-25,regular
