game_id,fecha,home_team,away_team,home_score,away_score,home_fg_pct,home_3p_pct,home_ft_pct,home_reb,home_ast,home_stl,home_blk,home_to,home_pf,home_pts,away_fg_pct,away_3p_pct,away_ft_pct,away_reb,away_ast,away_stl,away_blk,away_to,away_pf,away_pts,home_team_normalized,away_team_normalized,home_win,point_diff,net_rating_diff,reb_diff,ast_diff,tov_diff
401585736,2025-11-09,Raptors,Timberwolves,97.0,94.0,51.0,46.5,68.2,50.0,37.0,13.0,9.0,9.0,12.0,133.0,36.7,23.3,85.7,48.0,19.0,4.0,6.0,20.0,15.0,85.0,TOR,MIN,1,3.0,37.5,2.0,18.0,11.0
401585737,2025-11-09,Magic,Pelicans,121.0,106.0,47.4,41.4,85.7,35.0,21.0,9.0,1.0,14.0,26.0,108.0,51.2,40.6,73.3,39.0,27.0,9.0,2.0,13.0,20.0,117.0,ORL,NOP,1,15.0,-3.000000000000007,-4.0,-6.0,-1.0
401585738,2025-11-09,Cavaliers,Suns,111.0,117.0,50.6,54.5,94.1,43.0,32.0,11.0,2.0,15.0,17.0,122.0,47.0,26.9,84.2,37.0,28.0,9.0,4.0,15.0,14.0,101.0,CLE,PHX,0,-6.0,31.200000000000003,6.0,4.0,0.0
401585739,2025-11-09,Heat,76ers,119.0,113.0,41.5,30.2,87.5,51.0,24.0,8.0,4.0,15.0,10.0,105.0,46.7,35.0,81.8,41.0,28.0,11.0,7.0,11.0,15.0,109.0,MIA,PHI,1,6.0,-10.000000000000004,10.0,-4.0,-4.0
401585740,2025-11-09,Kings,Knicks,91.0,98.0,55.0,42.9,69.0,39.0,34.0,9.0,2.0,11.0,20.0,120.0,48.8,42.9,58.3,35.0,26.0,6.0,3.0,16.0,23.0,109.0,SAC,NYK,0,-7.0,6.200000000000003,4.0,8.0,5.0
401585741,2025-11-09,Rockets,Warriors,95.0,106.0,41.9,30.0,86.7,29.0,23.0,11.0,1.0,12.0,19.0,110.0,58.8,48.6,88.0,43.0,29.0,6.0,2.0,18.0,23.0,133.0,HOU,GSW,0,-11.0,-35.5,-14.0,-6.0,6.0
401585742,2025-11-09,Nuggets,Clippers,111.0,108.0,37.8,21.2,84.4,48.0,22.0,10.0,2.0,6.0,20.0,102.0,43.4,31.4,68.0,51.0,27.0,3.0,4.0,13.0,19.0,100.0,DEN,LAC,1,3.0,-15.8,-3.0,-5.0,7.0
401585743,2025-11-09,Magic,Hornets,130.0,117.0,59.7,50.0,100.0,36.0,29.0,6.0,4.0,18.0,22.0,124.0,44.7,23.7,84.6,37.0,24.0,9.0,3.0,10.0,19.0,115.0,ORL,CHA,1,13.0,41.3,-1.0,5.0,-8.0
401585744,2025-11-09,Thunder,Pacers,111.0,121.0,52.3,42.9,90.5,39.0,30.0,8.0,5.0,13.0,23.0,126.0,48.8,26.7,83.3,39.0,24.0,8.0,6.0,15.0,17.0,112.0,OKC,IND,0,-10.0,19.7,0.0,6.0,2.0
401585745,2025-11-09,Trail Blazers,Wizards,117.0,118.0,43.2,15.2,70.0,45.0,24.0,9.0,5.0,9.0,21.0,102.0,43.6,31.0,70.8,55.0,29.0,7.0,5.0,12.0,23.0,108.0,POR,WAS,0,-1.0,-16.2,-10.0,-5.0,3.0
401585746,2025-11-09,Kings,Celtics,119.0,144.0,42.7,27.3,72.2,51.0,25.0,6.0,4.0,7.0,11.0,101.0,38.4,33.3,53.8,54.0,21.0,4.0,3.0,7.0,15.0,100.0,SAC,BOS,0,-25.0,-1.6999999999999922,-3.0,4.0,0.0
401585747,2025-11-09,Knicks,Bulls,116.0,100.0,47.3,30.4,81.3,57.0,27.0,11.0,5.0,16.0,19.0,108.0,43.4,34.5,75.0,38.0,22.0,9.0,2.0,17.0,15.0,100.0,NYK,CHI,1,16.0,-0.20000000000000284,19.0,5.0,1.0
401585748,2025-11-09,Heat,Rockets,120.0,113.0,37.8,31.8,88.0,45.0,25.0,7.0,2.0,9.0,13.0,104.0,49.4,36.1,85.7,48.0,27.0,8.0,4.0,9.0,18.0,119.0,MIA,HOU,1,7.0,-15.900000000000002,-3.0,-2.0,0.0
401585749,2025-11-09,Pistons,Grizzlies,102.0,116.0,46.7,32.3,87.5,49.0,24.0,13.0,7.0,20.0,14.0,108.0,40.5,26.7,75.0,38.0,22.0,13.0,4.0,17.0,14.0,90.0,DET,MEM,0,-14.0,11.8,11.0,2.0,-3.0
401585750,2025-11-09,Raptors,Bucks,130.0,111.0,43.6,28.6,81.0,45.0,21.0,8.0,6.0,13.0,24.0,111.0,45.6,38.9,86.1,47.0,24.0,9.0,3.0,16.0,18.0,117.0,TOR,MIL,1,19.0,-12.299999999999997,-2.0,-3.0,3.0
401585751,2025-11-09,Pelicans,Spurs,121.0,106.0,51.2,31.0,100.0,41.0,28.0,11.0,2.0,17.0,17.0,109.0,50.6,37.0,76.9,34.0,34.0,9.0,8.0,16.0,13.0,111.0,NOP,SAS,1,15.0,-5.399999999999999,7.0,-6.0,-1.0
401585752,2025-11-09,Hawks,Mavericks,143.0,148.0,40.4,36.7,88.2,53.0,20.0,7.0,7.0,14.0,17.0,109.0,40.0,34.2,66.7,56.0,21.0,7.0,2.0,21.0,22.0,95.0,ATL,DAL,0,-5.0,2.8999999999999986,-3.0,-1.0,7.0
401585753,2025-11-09,Suns,Timberwolves,133.0,115.0,43.4,34.6,75.9,49.0,29.0,12.0,3.0,18.0,19.0,97.0,38.8,34.5,78.6,44.0,23.0,9.0,6.0,18.0,20.0,87.0,PHX,MIN,1,18.0,4.700000000000003,5.0,6.0,0.0
401585754,2025-11-09,Jazz,Clippers,120.0,118.0,56.0,37.1,88.9,51.0,32.0,9.0,4.0,14.0,22.0,131.0,38.5,30.0,79.3,43.0,20.0,11.0,4.0,15.0,16.0,102.0,UTA,LAC,1,2.0,24.6,8.0,12.0,1.0
401585755,2025-11-09,Cavaliers,Lakers,115.0,121.0,56.3,43.2,62.5,40.0,30.0,11.0,11.0,17.0,12.0,116.0,43.3,31.4,66.7,40.0,24.0,11.0,3.0,18.0,11.0,97.0,CLE,LAL,0,-6.0,24.800000000000004,0.0,6.0,1.0
401585756,2025-11-09,Nets,Pistons,126.0,115.0,52.1,40.7,78.8,48.0,20.0,3.0,7.0,18.0,11.0,113.0,45.7,43.6,50.0,28.0,25.0,9.0,2.0,7.0,24.0,103.0,BKN,DET,1,11.0,3.5,20.0,-5.0,-11.0
401585757,2025-11-09,76ers,Grizzlies,109.0,115.0,41.4,34.6,71.4,44.0,21.0,9.0,2.0,18.0,18.0,96.0,51.9,41.0,78.3,41.0,27.0,12.0,9.0,19.0,22.0,116.0,PHI,MEM,0,-6.0,-16.9,3.0,-6.0,1.0
401585758,2025-11-09,Hawks,Nuggets,122.0,129.0,60.2,56.1,81.3,47.0,38.0,9.0,7.0,15.0,21.0,142.0,42.5,32.4,82.8,38.0,30.0,8.0,2.0,16.0,18.0,110.0,ATL,DEN,0,-7.0,41.400000000000006,9.0,8.0,1.0
401585759,2025-11-09,Mavericks,Rockets,121.0,115.0,54.1,38.5,88.9,47.0,21.0,4.0,6.0,17.0,26.0,147.0,49.5,41.5,77.1,32.0,31.0,11.0,6.0,10.0,34.0,136.0,DAL,HOU,1,6.0,1.6000000000000014,15.0,-10.0,-7.0
401585760,2025-11-09,Cavaliers,Clippers,118.0,108.0,48.8,40.0,100.0,48.0,26.0,5.0,2.0,15.0,22.0,120.0,47.7,36.7,85.2,36.0,27.0,10.0,2.0,11.0,16.0,118.0,CLE,LAC,1,10.0,4.3999999999999915,12.0,-1.0,-4.0
401585761,2025-11-09,Heat,Pacers,142.0,132.0,51.2,28.1,95.2,37.0,27.0,4.0,6.0,6.0,24.0,117.0,46.4,29.6,90.6,39.0,21.0,3.0,2.0,7.0,22.0,115.0,MIA,IND,1,10.0,3.3000000000000043,-2.0,6.0,1.0
401585762,2025-11-09,Trail Blazers,Celtics,99.0,121.0,56.3,42.1,76.9,40.0,34.0,11.0,8.0,12.0,12.0,124.0,39.2,36.8,100.0,53.0,26.0,8.0,2.0,14.0,12.0,107.0,POR,BOS,0,-22.0,22.4,-13.0,8.0,2.0
401585763,2025-11-09,Thunder,Hornets,126.0,106.0,54.2,42.5,78.6,36.0,29.0,12.0,9.0,18.0,14.0,118.0,51.7,50.0,76.5,36.0,33.0,14.0,4.0,16.0,17.0,121.0,OKC,CHA,1,20.0,-5.0,0.0,-4.0,-2.0
401585764,2025-11-09,Bulls,Magic,94.0,96.0,46.7,32.4,94.7,40.0,24.0,12.0,4.0,10.0,17.0,113.0,50.7,30.0,72.7,37.0,20.0,7.0,5.0,21.0,17.0,98.0,CHI,ORL,0,-2.0,-1.6000000000000014,3.0,4.0,11.0
401585765,2025-11-09,Raptors,Wizards,111.0,107.0,51.0,35.5,75.0,49.0,33.0,9.0,4.0,13.0,26.0,130.0,47.2,40.0,73.3,43.0,29.0,9.0,11.0,15.0,25.0,122.0,TOR,WAS,1,4.0,-0.7000000000000028,6.0,4.0,2.0
401585766,2025-11-09,Pelicans,Suns,109.0,123.0,44.8,35.9,92.9,38.0,30.0,7.0,8.0,15.0,17.0,105.0,47.1,41.0,89.5,42.0,26.0,8.0,7.0,12.0,17.0,113.0,NOP,PHX,0,-14.0,-7.400000000000006,-4.0,4.0,-3.0
401585767,2025-11-09,Bucks,Knicks,110.0,105.0,46.7,35.3,84.4,38.0,27.0,3.0,7.0,14.0,16.0,109.0,48.9,48.3,81.8,41.0,25.0,9.0,6.0,5.0,22.0,122.0,MIL,NYK,1,5.0,-15.199999999999996,-3.0,2.0,-9.0
401585768,2025-11-09,76ers,Spurs,133.0,123.0,44.9,36.4,84.6,59.0,31.0,5.0,11.0,25.0,17.0,126.0,45.6,30.8,89.5,46.0,31.0,15.0,3.0,10.0,20.0,133.0,PHI,SAS,1,10.0,4.899999999999995,13.0,0.0,-15.0
