rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
35,4433255,Chet Holmgren,2023-24,playoffs,2025-11-09T11:59:25.812943,35,Chet Holmgren,C,10,34.5,15.6,5.9,11.9,49.6,1.3,5.0,26.0,2.5,3.3,75.8,7.2,2.1,0.7,2.5,1.9,1,0
36,3934719,OG Anunoby,2023-24,playoffs,2025-11-09T11:59:25.813170,36,OG Anunoby,F,9,36.0,15.1,6.2,12.3,50.5,1.8,4.3,41.0,0.9,1.4,61.5,6.0,1.1,0.9,1.0,1.1,1,0
37,4395712,Andrew Nembhard,2023-24,playoffs,2025-11-09T11:59:25.813380,37,Andrew Nembhard,G,17,32.6,14.9,6.0,10.7,56.0,1.7,3.5,48.3,1.2,1.5,76.9,3.3,5.5,0.4,0.2,1.4,1,0
38,4432165,Jalen Suggs,2023-24,playoffs,2025-11-09T11:59:25.813590,38,Jalen Suggs,G,7,33.1,14.7,4.7,11.7,40.2,2.0,6.9,29.2,3.3,4.3,76.7,5.1,3.3,1.3,0.4,2.9,0,0
39,3062679,Josh Hart,2023-24,playoffs,2025-11-09T11:59:25.813804,39,Josh Hart,G,13,42.2,14.5,5.1,11.5,44.0,1.7,4.5,37.3,2.7,3.7,72.9,11.5,4.5,1.0,0.8,2.6,7,0
40,3064290,Aaron Gordon,2023-24,playoffs,2025-11-09T11:59:25.814004,40,Aaron Gordon,F,12,37.1,14.3,5.8,9.8,58.5,0.9,2.3,40.7,1.9,2.3,82.1,7.3,4.4,0.8,0.6,1.5,3,0
41,3995,Jrue Holiday,2023-24,playoffs,2025-11-09T11:59:25.814231,41,Jrue Holiday,G,19,37.9,13.2,5.1,10.2,50.3,1.8,4.6,40.2,1.1,1.2,95.5,6.1,4.4,1.1,0.6,1.5,3,0
42,4278078,P.J. Washington,2023-24,playoffs,2025-11-09T11:59:25.814407,42,P.J. Washington,F,22,35.7,13.0,4.5,10.6,42.7,2.1,6.1,34.8,1.8,2.5,70.9,6.6,1.4,0.7,0.8,1.5,3,0
43,4431671,Jaden McDaniels,2023-24,playoffs,2025-11-09T11:59:25.814552,43,Jaden McDaniels,F,16,33.6,12.2,4.5,8.8,51.4,1.5,3.5,42.9,1.7,2.2,77.1,3.8,1.1,0.9,1.1,1.1,0,0
44,3032976,Rudy Gobert,2023-24,playoffs,2025-11-09T11:59:25.814686,44,Rudy Gobert,C,15,34.1,12.1,4.3,6.9,61.5,0.0,0.0,0.0,3.5,5.3,67.1,9.8,1.6,0.9,1.0,1.5,6,0
45,2530530,T.J. McConnell,2023-24,playoffs,2025-11-09T11:59:25.814838,45,T.J. McConnell,G,17,20.5,11.8,5.3,10.9,48.6,0.4,1.5,26.9,0.8,0.9,86.7,3.1,5.1,0.9,0.1,1.2,2,0
46,3195,Mike Conley,2023-24,playoffs,2025-11-09T11:59:25.815102,46,Mike Conley,G,15,31.6,11.6,4.1,9.7,42.8,2.0,5.1,39.5,1.3,1.9,71.4,3.9,5.7,1.4,0.2,1.3,1,0
47,4396971,Naz Reid,2023-24,playoffs,2025-11-09T11:59:25.815269,47,Naz Reid,C,16,22.6,11.1,4.1,8.9,45.8,1.6,4.3,36.2,1.4,1.9,71.0,3.7,1.0,0.5,0.8,0.9,1,0
48,4431823,Miles McBride,2023-24,playoffs,2025-11-09T11:59:25.815430,48,Miles McBride,G,13,26.7,11.0,4.2,9.5,43.5,1.9,5.2,36.8,0.8,0.9,83.3,2.2,1.9,0.5,0.2,0.8,0,0
49,4278355,Obi Toppin,2023-24,playoffs,2025-11-09T11:59:25.815573,49,Obi Toppin,F,17,20.2,10.9,4.3,7.9,54.1,1.2,3.3,35.7,1.1,1.5,76.0,4.4,1.7,0.4,0.4,0.8,0,0
50,4397020,Luguentz Dort,2023-24,playoffs,2025-11-09T11:59:25.815699,50,Luguentz Dort,G,10,35.0,10.7,3.3,9.1,36.3,2.5,6.4,39.1,1.6,1.9,84.2,4.6,2.0,1.3,0.2,1.1,0,0
51,4396909,A. Nesmith,2023-24,playoffs,2025-11-09T11:59:25.815833,51,A. Nesmith,G,17,32.9,10.5,3.6,8.3,43.3,1.3,4.6,27.8,2.0,2.2,91.9,4.9,2.2,0.6,0.5,1.4,0,0
52,2991043,C. LeVert,2023-24,playoffs,2025-11-09T11:59:25.815971,52,C. LeVert,G,11,25.3,10.1,4.0,9.3,43.1,0.5,3.0,18.2,1.5,2.4,65.4,3.6,2.3,0.8,0.5,1.3,0,0
53,4065778,M. Strus,2023-24,playoffs,2025-11-09T11:59:25.816117,53,M. Strus,G,12,36.1,9.5,3.5,8.6,40.8,2.1,6.0,34.7,0.4,0.4,100.0,5.3,2.9,0.8,0.0,1.3,0,0
54,3213,A. Horford,2023-24,playoffs,2025-11-09T11:59:25.816233,54,A. Horford,C,19,30.3,9.2,3.5,7.3,47.8,1.8,5.0,36.8,0.4,0.6,63.6,7.0,2.1,0.8,0.8,0.6,1,0
55,3936099,D. Jones Jr.,2023-24,playoffs,2025-11-09T11:59:25.816358,55,D. Jones Jr.,F,22,29.4,9.1,3.5,7.3,48.1,1.1,3.0,36.9,1.0,1.4,73.3,3.5,1.2,0.5,1.0,0.8,0,0
56,4278049,D. Gafford,2023-24,playoffs,2025-11-09T11:59:25.817284,56,D. Gafford,F,22,20.2,9.0,3.5,5.6,63.4,0.0,0.0,0.0,1.9,3.0,63.1,5.5,0.7,0.3,1.5,0.9,1,0
57,4222252,I. Hartenstein,2023-24,playoffs,2025-11-09T11:59:25.817997,57,I. Hartenstein,C,13,29.8,8.5,3.5,5.8,59.2,0.1,0.2,50.0,1.5,1.7,86.4,7.8,3.5,0.3,0.9,1.5,1,0
58,4683688,D. Lively II,2023-24,playoffs,2025-11-09T11:59:25.818379,58,D. Lively II,C,21,22.0,7.9,3.0,4.5,67.4,0.0,0.0,100.0,1.7,2.9,59.0,7.4,1.3,0.4,1.0,1.0,4,0
59,4278039,N. Alexander-Walker,2023-24,playoffs,2025-11-09T11:59:25.818663,59,N. Alexander-Walker,G,16,23.6,7.3,2.6,7.0,36.6,1.5,5.1,29.6,0.6,0.6,100.0,1.8,2.3,0.6,0.4,0.9,0,0
60,4066354,P. Pritchard,2023-24,playoffs,2025-11-09T11:59:25.818823,60,P. Pritchard,G,19,18.7,6.4,2.3,5.5,41.9,1.2,3.2,38.3,0.6,0.6,91.7,1.9,2.1,0.2,0.0,0.7,0,0
61,4065804,S. Hauser,2023-24,playoffs,2025-11-09T11:59:25.818959,61,S. Hauser,F,19,14.9,5.4,1.9,4.4,42.9,1.4,3.7,38.0,0.2,0.2,100.0,2.2,0.6,0.3,0.2,0.2,0,0
62,4432811,J. Green,2023-24,playoffs,2025-11-09T11:59:25.819175,62,J. Green,G,22,18.1,5.0,1.6,3.9,42.4,1.0,2.7,39.0,0.6,0.9,73.7,2.5,1.0,0.8,0.1,0.3,0,0
63,2490149,C. McCollum,2023-24,playoffs,2025-11-09T11:59:25.819408,-,C. McCollum,G,4,37.0,17.8,7.8,18.5,41.9,1.8,7.3,24.1,0.5,0.5,100.0,4.8,4.8,1.8,0.8,4.0,0,0
64,4066328,J. Allen,2023-24,playoffs,2025-11-09T11:59:25.819615,-,J. Allen,C,4,31.8,17.0,6.3,9.3,67.6,0.0,0.0,0.0,4.5,6.5,69.2,13.8,1.3,1.3,1.0,1.3,2,0
65,4066457,A. Reaves,2023-24,playoffs,2025-11-09T11:59:25.819832,-,A. Reaves,G,5,34.8,16.8,6.0,12.6,47.6,1.4,5.2,26.9,3.4,3.8,89.5,3.8,3.6,1.4,0.6,0.8,0,0
66,4395725,T. Herro,2023-24,playoffs,2025-11-09T11:59:25.820046,-,T. Herro,G,5,37.0,16.8,6.0,15.6,38.5,3.0,8.6,34.9,1.8,2.0,90.0,3.6,5.4,0.4,0.0,2.8,1,0
67,6580,B. Beal,2023-24,playoffs,2025-11-09T11:59:25.820255,-,B. Beal,G,4,38.5,16.5,6.5,14.8,44.1,2.5,5.8,43.5,1.0,1.3,80.0,2.8,4.5,0.8,0.3,3.3,0,0
68,3064482,B. Portis,2023-24,playoffs,2025-11-09T11:59:25.820466,-,B. Portis,F,6,31.2,16.5,7.3,15.2,48.4,0.5,2.0,25.0,1.3,2.2,61.5,11.3,1.0,0.5,0.2,1.5,5,0
69,4017837,I. Zubac,2023-24,playoffs,2025-11-09T11:59:25.820776,-,I. Zubac,C,6,32.0,16.2,7.0,11.7,60.0,0.0,0.0,0.0,2.2,3.3,65.0,9.3,1.0,0.8,0.5,1.3,3,0
70,6429,A. Burks,2023-24,playoffs,2025-11-09T11:59:25.821007,-,A. Burks,SG,6,20.2,14.8,4.2,8.3,50.0,2.0,4.7,42.9,4.5,5.3,84.4,3.3,1.0,0.2,0.2,0.0,0,0
71,6477,J. Valanciunas,2023-24,playoffs,2025-11-09T11:59:25.821249,-,J. Valanciunas,C,4,22.3,14.5,5.5,10.5,52.4,0.0,0.3,0.0,3.5,4.3,82.4,11.0,1.3,0.5,0.0,2.5,2,0
72,3913176,B. Ingram,2023-24,playoffs,2025-11-09T11:59:25.821405,-,B. Ingram,F,4,36.3,14.3,4.8,13.8,34.5,0.5,2.0,25.0,4.3,4.8,89.5,4.5,3.3,1.0,1.3,2.3,0,0
73,3136776,D. Russell,2023-24,playoffs,2025-11-09T11:59:25.821536,-,D. Russell,G,5,37.0,14.2,5.6,14.6,38.4,2.8,8.8,31.8,0.2,0.4,50.0,2.8,4.2,0.8,0.2,1.8,0,0
74,3133603,K. Oubre Jr.,2023-24,playoffs,2025-11-09T11:59:25.821765,-,K. Oubre Jr.,G,6,37.3,13.2,5.2,10.7,48.4,1.5,3.8,39.1,1.3,1.8,72.7,4.0,1.7,1.8,1.2,1.3,0,0
75,4277813,H. Jones,2023-24,playoffs,2025-11-09T11:59:25.821981,-,H. Jones,F,4,35.3,13.0,4.0,10.3,39.0,2.0,6.0,33.3,3.0,3.0,100.0,5.0,2.5,1.3,0.3,2.8,0,0
76,2595516,N. Powell,2023-24,playoffs,2025-11-09T11:59:25.822175,-,N. Powell,G,6,29.8,12.8,4.3,10.2,42.6,2.2,4.8,44.8,2.0,2.5,80.0,2.8,0.3,0.5,0.0,1.2,0,0
77,4432848,J. Jaquez Jr.,2023-24,playoffs,2025-11-09T11:59:25.822302,-,J. Jaquez Jr.,F,4,30.5,12.8,5.3,13.0,40.4,0.8,3.3,23.1,1.5,1.8,85.7,3.3,3.0,0.8,0.5,1.8,0,0
78,3102531,K. Porzingis,2023-24,playoffs,2025-11-09T11:59:25.822435,-,K. Porzingis,C,7,23.6,12.3,4.0,8.6,46.7,1.4,4.1,34.5,2.9,3.1,90.9,4.4,1.1,0.7,1.6,0.7,0,0
79,6450,K. Leonard,2023-24,playoffs,2025-11-09T11:59:25.822588,-,K. Leonard,F,2,29.5,12.0,5.5,12.0,45.8,0.0,2.5,0.0,1.0,1.5,66.7,8.0,2.0,2.0,0.5,2.0,0,0
80,3138160,C. Martin,2023-24,playoffs,2025-11-09T11:59:25.822822,-,C. Martin,F,5,35.2,11.6,4.2,9.0,46.7,2.2,5.0,44.0,1.0,1.0,100.0,3.6,1.4,0.6,0.0,0.6,0,0
81,4397688,T. Murphy III,2023-24,playoffs,2025-11-09T11:59:25.823057,-,T. Murphy III,F,4,42.0,11.5,4.5,12.0,37.5,2.5,7.5,33.3,0.0,0.0,0.0,6.5,2.3,1.3,1.5,2.0,0,0
82,4997528,N. Jovic,2023-24,playoffs,2025-11-09T11:59:25.823289,-,N. Jovic,F,5,25.6,9.4,3.2,7.2,44.4,1.8,4.4,40.9,1.2,1.4,85.7,6.6,2.2,1.0,0.6,1.2,0,0
83,3907823,T. Mann,2023-24,playoffs,2025-11-09T11:59:25.823504,-,T. Mann,G,6,31.2,9.3,3.2,7.7,41.3,1.7,3.7,45.5,1.3,1.3,100.0,5.0,1.8,0.0,0.0,0.8,0,0
84,6440,T. Harris,2023-24,playoffs,2025-11-09T11:59:25.823735,-,T. Harris,F,6,36.3,9.0,3.7,8.5,43.1,1.0,3.0,33.3,0.7,0.7,100.0,7.2,1.5,0.2,0.5,0.5,0,0
85,4278594,N. Marshall,2023-24,playoffs,2025-11-09T11:59:25.823945,-,N. Marshall,F,4,21.0,9.0,3.0,7.0,42.9,1.5,3.8,40.0,1.5,1.5,100.0,2.8,1.3,0.5,0.5,0.5,0,0
86,3907822,M. Beasley,2023-24,playoffs,2025-11-09T11:59:25.824175,-,M. Beasley,SG,6,21.8,8.8,3.5,6.8,51.2,1.8,4.2,44.0,0.0,0.0,0.0,2.5,0.7,0.7,0.0,0.5,0,0
87,4871145,J. Giddey,2023-24,playoffs,2025-11-09T11:59:25.824335,-,J. Giddey,G,10,18.1,8.7,3.4,7.5,45.3,1.2,3.4,35.3,0.7,0.8,87.5,3.6,2.1,0.2,0.4,1.2,0,0
88,3964,P. Beverley,2023-24,playoffs,2025-11-09T11:59:25.824497,-,P. Beverley,PG,6,35.0,8.2,2.7,6.5,41.0,0.7,1.8,36.4,2.2,2.5,86.7,3.3,5.5,1.0,0.7,1.0,1,0
89,2581018,K. Caldwell-Pope,2023-24,playoffs,2025-11-09T11:59:25.824633,-,K. Caldwell-Pope,G,12,35.0,8.1,2.8,7.2,39.5,1.5,4.6,32.7,0.9,0.9,100.0,2.9,2.6,1.4,0.4,0.8,0,0
90,3431,E. Gordon,2023-24,playoffs,2025-11-09T11:59:25.825041,-,E. Gordon,G,4,29.5,8.0,2.3,7.0,32.1,1.8,4.3,41.2,1.8,2.0,87.5,1.8,1.3,1.3,0.5,1.0,0,0
91,3064447,D. Wright,2023-24,playoffs,2025-11-09T11:59:25.825188,-,D. Wright,G,4,26.8,8.0,3.0,5.0,60.0,1.5,2.5,60.0,0.5,0.5,100.0,3.0,1.8,1.0,0.3,0.0,0,0
92,4066648,R. Hachimura,2023-24,playoffs,2025-11-09T11:59:25.825275,-,R. Hachimura,F,5,30.4,7.8,3.0,7.6,39.5,1.0,2.8,35.7,0.8,1.6,50.0,3.8,0.8,0.0,0.0,0.4,0,0
93,3102530,J. Nurkic,2023-24,playoffs,2025-11-09T11:59:25.825353,-,J. Nurkic,C,4,26.0,7.8,3.3,6.5,50.0,0.0,0.5,0.0,1.3,2.8,45.5,8.3,2.8,1.5,1.5,1.5,1,0
94,4277847,W. Carter Jr.,2023-24,playoffs,2025-11-09T11:59:25.825431,-,W. Carter Jr.,C,7,26.4,7.6,2.7,6.7,40.4,1.0,3.6,28.0,1.1,1.6,72.7,6.3,1.3,0.7,0.6,0.7,0,0
95,2990962,T. Prince,2023-24,playoffs,2025-11-09T11:59:25.825584,-,T. Prince,F,5,22.2,7.4,2.4,5.8,41.4,1.0,3.4,29.4,1.6,1.6,100.0,2.4,0.6,0.2,0.4,0.2,0,0
96,3012,K. Lowry,2023-24,playoffs,2025-11-09T11:59:25.825820,-,K. Lowry,G,6,29.2,7.0,1.8,5.3,34.4,1.3,4.0,33.3,2.0,2.5,80.0,3.5,4.0,1.0,0.7,0.7,0,0
97,4066636,M. Fultz,2023-24,playoffs,2025-11-09T11:59:25.826080,-,M. Fultz,PG,7,15.1,6.4,2.9,4.9,58.8,0.0,0.1,0.0,0.7,1.3,55.6,2.0,1.1,0.4,0.0,1.1,0,0
98,4395702,I. Joe,2023-24,playoffs,2025-11-09T11:59:25.826268,-,I. Joe,G,10,17.3,6.4,2.4,5.4,44.4,1.6,3.9,41.0,0.0,0.0,0.0,2.2,1.0,0.5,0.0,0.5,0,0
99,3416,N. Batum,2023-24,playoffs,2025-11-09T11:59:25.826411,-,N. Batum,F,6,28.3,6.3,2.0,4.8,41.4,1.5,3.7,40.9,0.8,1.3,62.5,5.8,1.3,0.2,0.8,0.8,0,0
100,3468,R. Westbrook,2023-24,playoffs,2025-11-09T11:59:25.826538,-,R. Westbrook,G,6,19.0,6.3,2.2,8.3,26.0,0.7,2.8,23.5,1.3,2.2,61.5,4.2,1.7,1.2,0.5,1.7,0,0
101,3150844,M. Wagner,2023-24,playoffs,2025-11-09T11:59:25.826661,-,M. Wagner,F,7,15.0,6.3,2.3,5.1,44.4,0.3,1.3,22.2,1.4,2.4,58.8,4.4,0.3,0.9,0.4,1.1,0,0
102,4065654,J. Isaac,2023-24,playoffs,2025-11-09T11:59:25.826783,-,J. Isaac,F,7,21.0,6.3,2.3,5.6,41.0,1.4,3.9,37.0,0.3,0.3,100.0,4.9,0.4,0.7,1.3,0.6,0,0
103,2580365,L. Nance Jr.,2023-24,playoffs,2025-11-09T11:59:25.826876,-,L. Nance Jr.,F,4,21.0,6.3,2.5,4.3,58.8,0.3,1.0,25.0,1.0,1.5,66.7,8.3,1.8,0.5,0.0,1.8,0,0
104,4397183,A. Wiggins,2023-24,playoffs,2025-11-09T11:59:25.826995,-,A. Wiggins,G,10,15.7,6.2,2.3,4.7,48.9,0.6,2.0,30.0,1.0,1.1,90.9,3.2,1.0,0.6,0.3,0.9,0,0
105,6462,M. Morris Sr.,2023-24,playoffs,2025-11-09T11:59:25.827606,-,M. Morris Sr.,F,9,15.3,6.1,2.4,5.3,45.8,1.0,2.6,39.1,0.2,0.3,66.7,2.8,0.3,0.4,0.0,0.3,0,0
106,3593,B. Bogdanovic,2023-24,playoffs,2025-11-09T11:59:25.827824,-,B. Bogdanovic,SF,4,12.8,6.0,1.8,6.0,29.2,1.5,3.8,40.0,1.0,1.8,57.1,3.0,1.0,0.0,0.3,0.3,0,0
107,4004,P. Mills,2023-24,playoffs,2025-11-09T11:59:25.827994,-,P. Mills,PG,3,17.3,6.0,2.0,5.7,35.3,1.0,3.7,27.3,1.0,1.3,75.0,0.3,1.0,0.3,0.0,0.3,0,0
108,3934723,T. Bryant,2023-24,playoffs,2025-11-09T11:59:25.828173,-,T. Bryant,C,2,9.0,6.0,2.5,3.5,71.4,0.0,1.0,0.0,1.0,1.5,66.7,2.5,0.5,0.0,0.0,1.0,0,0
109,3914285,D. Eubanks,2023-24,playoffs,2025-11-09T11:59:25.828319,-,D. Eubanks,F,3,12.3,5.7,2.3,4.0,58.3,0.0,0.0,0.0,1.0,1.0,100.0,1.3,0.0,0.7,0.3,0.7,0,0
110,3064230,C. Payne,2023-24,playoffs,2025-11-09T11:59:25.828436,-,C. Payne,PG,5,12.2,5.6,2.0,5.0,40.0,1.6,3.6,44.4,0.0,0.0,0.0,1.2,1.4,0.2,0.8,0.6,0,0
111,3033,P.J. Tucker,2023-24,playoffs,2025-11-09T11:59:25.828606,-,P.J. Tucker,PF,2,15.5,5.5,2.0,3.0,66.7,1.5,2.0,75.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0,0
112,2990984,B. Hield,2023-24,playoffs,2025-11-09T11:59:25.828888,-,B. Hield,G,4,12.8,5.5,1.8,4.3,41.2,1.5,3.3,46.2,0.5,0.5,100.0,1.3,0.5,0.0,0.3,0.5,0,0
113,4432822,I. Okoro,2023-24,playoffs,2025-11-09T11:59:25.829119,-,I. Okoro,F,12,21.9,5.5,2.1,5.8,35.7,0.8,2.9,25.7,0.6,0.8,77.8,1.8,1.1,0.9,0.3,0.9,0,0
