rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
1,3059318,Joel Embiid,2023-24,playoffs,2025-11-09T11:59:25.807451,1,Joel Embiid,C,6,41.3,33.0,9.8,22.2,44.4,2.2,6.5,33.3,11.2,13.0,85.9,10.8,5.7,1.2,1.5,4.2,4,1
2,3934672,Jalen Brunson,2023-24,playoffs,2025-11-09T11:59:25.807621,2,Jalen Brunson,G,13,39.8,32.4,11.6,26.2,44.4,2.0,6.5,31.0,7.2,9.2,77.5,3.3,7.5,0.8,0.2,2.7,3,0
3,6606,Damian Lillard,2023-24,playoffs,2025-11-09T11:59:25.807809,3,Damian Lillard,G,4,39.0,31.3,8.5,20.3,42.0,5.0,12.0,41.7,9.3,9.5,97.4,3.3,5.0,1.0,0.0,2.3,0,0
4,4278073,Shai Gilgeous-Alexander,2023-24,playoffs,2025-11-09T11:59:25.807932,4,Shai Gilgeous-Alexander,G,10,39.9,30.2,11.1,22.4,49.6,1.6,3.7,43.2,6.4,8.1,79.0,7.2,6.4,1.3,1.7,2.2,3,0
5,4431678,Tyrese Maxey,2023-24,playoffs,2025-11-09T11:59:25.808058,5,Tyrese Maxey,G,6,44.5,29.8,11.0,23.0,47.8,3.7,9.2,40.0,4.2,4.7,89.3,5.2,6.8,0.8,0.3,2.2,1,0
6,3908809,Donovan Mitchell,2023-24,playoffs,2025-11-09T11:59:25.808192,6,Donovan Mitchell,G,10,38.2,29.6,10.7,22.5,47.6,2.9,8.2,35.4,5.3,6.5,81.5,5.4,4.7,1.3,0.3,2.8,0,0
7,3945274,Luka Doncic,2023-24,playoffs,2025-11-09T11:59:25.808310,7,Luka Doncic,G,22,40.9,28.9,10.2,22.9,44.6,3.1,9.6,32.2,5.3,7.0,76.5,9.5,8.1,1.9,0.4,4.1,16,7
8,3112335,Nikola Jokic,2023-24,playoffs,2025-11-09T11:59:25.808438,8,Nikola Jokic,C,12,40.2,28.7,11.1,20.3,54.5,1.2,4.4,26.4,5.3,5.9,90.1,13.4,8.7,1.4,0.7,3.3,9,2
9,1966,LeBron James,2023-24,playoffs,2025-11-09T11:59:25.808569,9,LeBron James,F,5,40.8,27.8,11.2,19.8,56.6,2.0,5.2,38.5,3.4,4.6,73.9,6.8,8.8,2.4,1.0,3.8,2,0
10,6583,Anthony Davis,2023-24,playoffs,2025-11-09T11:59:25.808700,9,Anthony Davis,F,5,41.6,27.8,11.8,18.6,63.4,0.0,1.0,0.0,4.2,5.2,80.8,15.6,4.0,0.4,1.6,2.2,5,0
11,4594268,Anthony Edwards,2023-24,playoffs,2025-11-09T11:59:25.808822,11,Anthony Edwards,G,16,40.6,27.6,9.8,20.3,48.1,2.9,7.2,40.0,5.2,6.4,81.4,7.0,6.5,1.5,0.6,3.3,2,0
12,3136193,Devin Booker,2023-24,playoffs,2025-11-09T11:59:25.808945,12,Devin Booker,G,4,41.5,27.5,8.0,16.3,49.2,1.8,5.0,35.0,9.8,10.3,95.1,3.3,6.0,1.8,0.3,2.8,0,0
13,4432573,Paolo Banchero,2023-24,playoffs,2025-11-09T11:59:25.809057,13,Paolo Banchero,F,7,37.4,27.0,9.7,21.3,45.6,2.3,5.7,40.0,5.3,7.0,75.5,8.6,4.0,1.1,0.6,4.6,2,0
14,3202,Kevin Durant,2023-24,playoffs,2025-11-09T11:59:25.809185,14,Kevin Durant,F,4,42.0,26.8,9.3,16.8,55.2,1.3,3.0,41.7,7.0,8.5,82.4,6.5,3.3,0.5,1.5,2.5,0,0
15,4065648,Jayson Tatum,2023-24,playoffs,2025-11-09T11:59:25.809584,15,Jayson Tatum,F,19,40.4,25.0,8.4,19.6,42.7,2.1,7.3,28.3,6.2,7.2,86.1,9.7,6.3,1.1,0.7,2.6,14,1
16,6609,Khris Middleton,2023-24,playoffs,2025-11-09T11:59:25.809817,16,Khris Middleton,F,6,38.3,24.7,9.2,19.0,48.2,1.8,5.2,35.5,4.5,5.0,90.0,9.2,4.7,0.5,0.2,2.3,4,0
17,3917376,Jaylen Brown,2023-24,playoffs,2025-11-09T11:59:25.810019,17,Jaylen Brown,G,19,37.2,23.9,9.2,17.8,51.6,1.9,5.8,32.7,3.6,5.4,66.0,5.9,3.3,1.2,0.6,2.7,0,0
18,4066261,Bam Adebayo,2023-24,playoffs,2025-11-09T11:59:25.810219,18,Bam Adebayo,C,5,38.6,22.6,9.6,19.4,49.5,0.4,2.0,20.0,3.0,4.2,71.4,9.4,3.8,0.4,0.0,1.6,2,0
19,6442,Kyrie Irving,2023-24,playoffs,2025-11-09T11:59:25.810461,19,Kyrie Irving,G,22,40.0,22.1,8.5,18.1,46.7,2.4,6.2,39.0,2.8,3.3,84.9,3.7,5.1,1.0,0.3,2.3,0,0
20,3149673,Pascal Siakam,2023-24,playoffs,2025-11-09T11:59:25.810601,20,Pascal Siakam,F,17,35.4,21.6,9.2,17.1,54.1,0.8,2.8,29.8,2.3,3.7,61.9,7.5,3.8,0.8,0.4,1.1,4,0
21,3992,James Harden,2023-24,playoffs,2025-11-09T11:59:25.810724,21,James Harden,G,6,40.3,21.2,6.7,14.8,44.9,3.0,7.8,38.3,4.8,5.3,90.6,4.5,8.0,1.0,1.0,2.3,1,0
22,3936299,Jamal Murray,2023-24,playoffs,2025-11-09T11:59:25.810846,22,Jamal Murray,G,12,38.5,20.6,8.3,20.8,40.2,1.9,6.1,31.5,2.0,2.2,92.3,4.3,5.6,0.8,0.5,2.6,1,0
23,4251,Paul George,2023-24,playoffs,2025-11-09T11:59:25.810968,23,Paul George,F,6,37.0,19.5,6.5,15.8,41.1,3.0,8.2,36.7,3.5,4.2,84.0,6.8,4.8,1.2,0.5,2.3,2,0
24,3136195,Karl-Anthony Towns,2023-24,playoffs,2025-11-09T11:59:25.811101,24,Karl-Anthony Towns,C,16,32.6,19.1,6.8,14.5,46.6,1.9,5.2,36.1,3.7,4.3,85.5,9.0,2.6,0.8,0.2,1.7,8,0
25,4566434,Franz Wagner,2023-24,playoffs,2025-11-09T11:59:25.811236,25,Franz Wagner,F,7,37.0,18.9,6.0,14.7,40.8,1.3,4.9,26.5,5.6,6.3,88.6,6.9,4.4,0.7,1.3,1.3,1,0
26,4593803,Jalen Williams,2023-24,playoffs,2025-11-09T11:59:25.811351,26,Jalen Williams,G,10,37.7,18.7,7.5,16.0,46.9,1.5,3.9,38.5,2.2,2.7,81.5,6.8,5.4,1.7,0.5,1.9,0,0
27,4396993,Tyrese Haliburton,2023-24,playoffs,2025-11-09T11:59:25.811472,27,Tyrese Haliburton,G,15,34.8,18.7,7.0,14.3,48.8,3.5,9.3,37.9,1.1,1.3,85.0,4.8,8.2,1.3,0.7,2.1,4,1
28,3934673,Donte DiVincenzo,2023-24,playoffs,2025-11-09T11:59:25.811607,28,Donte DiVincenzo,G,13,35.8,17.8,6.2,14.7,41.9,3.5,8.2,42.5,2.0,2.3,86.7,4.0,2.6,1.2,0.9,1.2,0,0
29,3448,Brook Lopez,2023-24,playoffs,2025-11-09T11:59:25.811729,29,Brook Lopez,C,6,33.3,17.7,7.3,12.5,58.7,1.7,3.8,43.5,1.3,2.5,53.3,4.3,1.8,0.0,1.3,1.5,0,0
30,3133628,Myles Turner,2023-24,playoffs,2025-11-09T11:59:25.811844,30,Myles Turner,C,17,32.4,17.0,6.2,12.1,51.7,2.3,5.1,45.3,2.2,2.9,76.0,6.6,2.1,0.5,1.5,1.9,3,0
31,3078576,Derrick White,2023-24,playoffs,2025-11-09T11:59:25.812032,31,Derrick White,G,19,35.6,16.7,5.7,12.7,45.2,3.4,8.5,40.4,1.8,2.0,92.1,4.3,4.1,0.9,1.2,0.8,0,0
32,4432158,Evan Mobley,2023-24,playoffs,2025-11-09T11:59:25.812292,32,Evan Mobley,C,12,35.2,16.0,6.8,12.2,55.5,0.4,1.5,27.8,2.1,3.0,69.4,9.3,2.3,0.8,2.2,1.8,5,0
33,4278104,Michael Porter Jr.,2023-24,playoffs,2025-11-09T11:59:25.812511,33,Michael Porter Jr.,F,12,36.9,15.8,5.7,12.2,46.6,2.8,6.8,40.7,1.7,2.2,76.9,6.8,1.1,0.9,0.8,1.5,2,0
34,4396907,Darius Garland,2023-24,playoffs,2025-11-09T11:59:25.812731,34,Darius Garland,G,12,36.0,15.7,6.1,14.3,42.7,2.1,5.9,35.2,1.4,1.8,81.0,3.6,5.8,1.1,0.2,2.3,0,0
